utc,nav,balance,unrealized_pl,open_trades,realized_since_config,net_deposits
2026-08-07T21:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-07T22:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-07T23:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T00:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T01:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T02:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T03:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T04:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T05:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T06:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T07:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T08:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T09:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T10:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T11:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T12:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T13:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T14:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T15:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T16:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T17:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T18:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T19:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T20:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T21:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T22:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-08T23:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T00:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T01:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T02:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T03:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T04:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T05:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T06:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T07:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T08:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T09:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T10:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T11:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T12:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T13:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T14:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T15:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T16:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T17:15:01Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T18:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T19:15:03Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T20:15:02Z,1822.90,1914.87,-91.96,6,-567.21,0.00
2026-08-09T21:15:01Z,1813.99,1914.87,-100.88,6,-567.21,0.00
2026-08-09T22:15:02Z,1832.95,1914.87,-81.91,6,-567.21,0.00
2026-08-09T23:15:02Z,1838.17,1917.71,-79.54,5,-564.37,0.00
2026-08-10T00:15:02Z,1829.39,1917.71,-88.32,5,-564.37,0.00
2026-08-10T01:15:03Z,1853.18,1917.71,-64.53,6,-564.37,0.00
2026-08-10T02:15:02Z,1842.06,1917.71,-75.65,6,-564.37,0.00
2026-08-10T03:15:03Z,1856.50,1917.71,-61.21,6,-564.37,0.00
2026-08-10T04:15:03Z,1854.66,1917.71,-63.05,6,-564.37,0.00
2026-08-10T05:15:02Z,1844.25,1917.71,-73.46,6,-564.37,0.00
2026-08-10T06:15:02Z,1833.87,1917.71,-83.85,6,-564.37,0.00
2026-08-10T07:15:02Z,1839.42,1917.71,-78.29,6,-564.37,0.00
2026-08-10T08:15:03Z,1819.78,1921.00,-101.22,5,-561.08,0.00
2026-08-10T09:15:01Z,1830.01,1921.00,-90.99,5,-561.08,0.00
2026-08-10T10:15:01Z,1844.47,1921.00,-76.53,5,-561.08,0.00
2026-08-10T11:15:02Z,1843.85,1921.00,-77.15,6,-561.08,0.00
2026-08-10T12:15:02Z,1848.81,1921.00,-72.19,6,-561.08,0.00
2026-08-10T13:15:02Z,1850.51,1921.00,-70.49,6,-561.08,0.00
2026-08-10T14:15:02Z,1834.07,1921.00,-86.93,6,-561.08,0.00
2026-08-10T15:15:02Z,1837.39,1834.58,2.81,3,-647.50,0.00
2026-08-10T16:15:03Z,1837.33,1837.28,0.05,3,-644.80,0.00
2026-08-10T17:15:03Z,1835.52,1838.86,-3.34,4,-643.22,0.00
2026-08-10T18:15:03Z,1832.57,1838.86,-6.29,6,-643.22,0.00
2026-08-10T19:15:03Z,1831.69,1838.86,-7.17,6,-643.22,0.00
2026-08-10T20:15:01Z,1837.30,1841.07,-3.77,6,-641.02,0.00
2026-08-10T21:15:02Z,1825.53,1839.55,-14.02,6,-641.02,0.00
2026-08-10T22:15:03Z,1834.38,1839.55,-5.17,6,-641.02,0.00
2026-08-10T23:15:03Z,1833.63,1839.55,-5.91,6,-641.02,0.00
2026-08-11T00:15:02Z,1834.60,1839.55,-4.95,6,-641.02,0.00
2026-08-11T01:15:02Z,1831.78,1841.49,-9.71,6,-639.08,0.00
2026-08-11T02:15:02Z,1831.65,1842.40,-10.74,5,-638.17,0.00
2026-08-11T03:15:02Z,1836.19,1847.29,-11.10,4,-633.28,0.00
2026-08-11T04:15:02Z,1832.50,1847.29,-14.79,5,-633.28,0.00
2026-08-11T05:15:03Z,1847.78,1857.71,-9.93,4,-622.85,0.00
2026-08-11T06:15:03Z,1848.25,1857.71,-9.46,5,-622.85,0.00
2026-08-11T07:15:02Z,1848.82,1859.54,-10.71,4,-621.03,0.00
2026-08-11T08:15:03Z,1839.54,1859.54,-20.00,6,-621.03,0.00
2026-08-11T09:15:02Z,1843.13,1859.54,-16.41,6,-621.03,0.00
2026-08-11T10:15:01Z,1844.73,1859.54,-14.81,6,-621.03,0.00
2026-08-11T11:15:03Z,1848.44,1859.54,-11.10,6,-621.03,0.00
2026-08-11T12:15:02Z,1845.22,1859.54,-14.32,6,-621.03,0.00
2026-08-11T13:15:02Z,1849.97,1859.54,-9.56,6,-621.03,0.00
2026-08-11T14:15:02Z,1851.12,1861.89,-10.77,5,-618.68,0.00
2026-08-11T15:15:03Z,1846.05,1864.51,-18.46,6,-616.06,0.00
2026-08-11T16:15:03Z,1846.02,1864.51,-18.48,6,-616.06,0.00
2026-08-11T17:15:02Z,1849.26,1864.51,-15.24,6,-616.06,0.00
2026-08-11T18:15:02Z,1849.12,1864.51,-15.38,6,-616.06,0.00
2026-08-11T19:15:03Z,1848.97,1864.51,-15.54,6,-616.06,0.00
2026-08-11T20:15:03Z,1848.37,1864.51,-16.13,6,-616.06,0.00
2026-08-11T21:15:02Z,1843.74,1863.61,-19.87,6,-616.06,0.00
2026-08-11T22:15:02Z,1845.20,1863.61,-18.41,6,-616.06,0.00
2026-08-11T23:15:01Z,1846.64,1863.61,-16.97,6,-616.06,0.00
2026-08-12T00:15:03Z,1846.80,1863.61,-16.81,6,-616.06,0.00
2026-08-12T01:15:02Z,1848.04,1863.61,-15.57,6,-616.06,0.00
2026-08-12T02:15:02Z,1844.76,1863.61,-18.85,6,-616.06,0.00
2026-08-12T03:15:02Z,1843.16,1864.52,-21.36,6,-615.15,0.00
2026-08-12T04:15:02Z,1840.45,1864.52,-24.07,6,-615.15,0.00
2026-08-12T05:15:03Z,1838.08,1864.52,-26.43,6,-615.15,0.00
2026-08-12T06:15:02Z,1841.09,1864.52,-23.43,6,-615.15,0.00
